Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена,Log_Цена,Log_Площадь,Кол-во комнат_num
2,43.0,2,5,0.4,4.535364471481626,Суконная слобода,4.226528529285731,0,0,0,0,7499000,15.83028036963463,3.784189633918261,2.0
3,118.0,5,6,0.833333,6.280881052229441,Северный вокзал,1.195267490968336,0,0,1,0,17000000,16.648723960844016,4.77912349311153,3.0
1,42.0,5,9,0.555556,3.270750972323094,Козья слобода,2.419774986469561,0,0,0,0,11198000,16.23124583819263,3.7612001156935624,1.0
2,48.5,3,11,0.272727,7.761243514016058,Авиастроительная,0.402600836364895,0,0,0,0,13404720,16.41111751630617,3.901972669574645,2.0
3,63.4,8,9,0.888889,3.221947032884357,Козья слобода,0.4618428007678654,0,0,1,0,10800000,16.195056784687036,4.165113633110308,3.0
2,30.5,2,9,0.222222,10.588044608446298,Авиастроительная,9.167606873245928,0,0,0,0,3800000,15.150511887854474,3.449987545831587,2.0
2,54.8,6,14,0.428571,8.495919376997326,Дубравная,0.6996480472289665,0,0,0,0,9750000,16.092777945538128,4.021773869387265,2.0
2,45.7,1,5,0.2,5.13233279911364,Яшьлек,1.803706801095048,0,0,0,0,6300000,15.656060350091908,3.8437441646748516,2.0
2,58.8,6,9,0.666667,3.1162443561410145,Суконная слобода,1.1742533398621446,0,0,0,0,15128000,16.53205795542302,4.091005660956586,2.0
2,53.2,15,25,0.6,12.925310539717035,Дубравная,6.407001612766301,0,0,0,0,11820000,16.28530365454459,3.9926809084456005,2.0
2,60.0,18,20,0.9,2.9041799626762765,Козья слобода,0.9579480901948768,0,0,0,0,16200000,16.600521861931007,4.110873864173311,2.0
2,52.7,8,9,0.888889,7.528403523605059,Авиастроительная,0.9032128534717946,0,0,0,0,8300000,15.931766193248746,3.983413001514819,2.0
2,64.2,3,13,0.230769,4.232467870603791,Козья слобода,3.1963395790769518,0,0,1,0,15000000,16.52356082573315,4.177459468932607,2.0
2,54.9,3,9,0.333333,2.0321280846163767,Суконная слобода,0.5945494166379295,0,0,0,0,13990000,16.45385341812129,4.023564380161053,2.0
3,65.6,9,9,1.0,8.77817973811422,Дубравная,0.4013277321438109,0,0,0,0,9000000,16.012735246411598,4.198704577546343,3.0
студия,15.1,3,5,0.6,3.5483633780766355,Козья слобода,1.690789203364964,0,0,1,0,3900000,15.176487367510099,2.7788192719904172,
1,43.0,3,26,0.115385,4.4449793015783925,Аметьево,0.3178995289950383,0,0,1,0,12200000,16.316946591670696,3.784189633918261,1.0
3,56.9,13,19,0.684211,12.86033109261013,Дубравная,6.211195100531648,0,0,0,0,10130000,16.131011974941543,4.05871738457895,3.0
1,35.0,8,16,0.5,13.131703040804632,Дубравная,6.422221942555528,0,0,1,0,5750000,15.564710586686562,3.58351893845611,1.0
3,66.0,3,9,0.333333,5.87036992666363,Козья слобода,4.046619059713558,0,0,0,0,9999949,16.11809065094582,4.204692619390966,3.0
1,38.0,2,5,0.4,6.335692266317553,Горки,1.1768962336293212,0,0,0,0,8700000,15.978833698567334,3.6635616461296463,1.0
студия,44.3,7,7,1.0,2.873704508167171,Суконная слобода,1.0835258291131935,0,0,0,0,7199000,15.789452824359612,3.8133070324889884,
2,40.7,4,5,0.8,5.64488994027162,Северный вокзал,0.5812587108296315,0,0,1,0,7000000,15.76142084987672,3.730501128804756,2.0
студия,20.0,5,9,0.555556,4.976136035307517,Яшьлек,1.5053316897030748,0,0,0,0,3290000,15.006398426692876,3.044522437723423,
1,37.2,7,9,0.777778,5.951126954600117,Яшьлек,2.8509454913191017,0,0,1,0,6400000,15.671808704579888,3.6428355156125294,1.0
1,31.0,1,5,0.2,5.060549042889542,Яшьлек,2.1230549894768878,0,0,1,0,5500000,15.520258832020865,3.4657359027997265,1.0
1,35.3,2,9,0.222222,5.144055638750546,Козья слобода,2.873626686759275,0,0,0,0,8760000,15.985706577067818,3.591817741270805,1.0
1,30.0,3,3,1.0,20.52717479103389,Дубравная,15.77298266660196,0,0,0,0,5050000,15.434898999271326,3.4339872044851463,1.0
1,41.1,3,20,0.15,7.562072914803461,Проспект Победы,2.609555253717855,0,0,0,0,8100000,15.90737474309945,3.7400477406883357,1.0
1,34.2,7,9,0.777778,4.561878972170568,Козья слобода,2.7135529000640863,0,0,1,0,7990000,15.893701442898895,3.5610460826040513,1.0
2,46.0,1,5,0.2,11.400983187481309,Авиастроительная,4.726076180324542,0,0,0,0,5790000,15.571643022260735,3.8501476017100584,2.0
студия,11.0,1,9,0.111111,6.0124473644006,Северный вокзал,3.808093997969694,0,0,0,0,3300000,15.009433329466965,2.4849066497880004,
2,45.2,3,3,1.0,4.617323517888057,Аметьево,0.3122052767812344,0,0,1,0,6900000,15.747032114495013,3.832979798087693,2.0
2,44.1,1,5,0.2,4.973289189235037,Яшьлек,0.6852244876633451,0,0,1,0,6690000,15.716124581581232,3.8088822465086327,2.0
1,32.2,3,9,0.333333,7.231934254715035,Горки,3.18139632145291,0,0,1,0,7200000,15.789591722875162,3.502549875922443,1.0
1,31.0,1,10,0.1,10.102967720964934,Авиастроительная,8.413271099738697,0,0,1,0,4800000,15.38412668421143,3.4657359027997265,1.0
