"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,"Расстояние до центра, км",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Есть Балкон,Есть Лоджия,Metro_Аметьево,Metro_Горки,Metro_Дубравная,Metro_Козья слобода,Metro_Кремлёвская,Metro_Площадь Тукая,Metro_Проспект Победы,Metro_Северный вокзал,Metro_Суконная слобода,Metro_Яшьлек,Цена_log
29.3,4,5,6.030759509500941,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.702580358511794
18.0,3,5,4.468336986302476,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15.274125813221904
45.8,6,10,6.638607620414206,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16.034714150714915
41.6,2,9,1.349589191906794,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.83705825367553
46.0,6,10,8.472596904589915,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.978833698567334
50.2,3,5,9.20385888772003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.747032114495013
17.8,1,5,4.429891949889585,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.339390799901627
14.0,7,9,5.75021977547187,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,14.96132476608165
50.0,3,10,3.4433160062908907,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.097893045681612
31.3,6,9,1.3495448720090004,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.04013421759671
31.3,6,9,1.349589191906794,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.039052551842968
17.3,3,3,3.982896731996048,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15.084990445470092
12.6,8,9,5.671633260416502,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.123843647884687
42.5,8,9,11.648661765177485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.747032114495013
32.4,9,9,4.489628405440657,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.82372472458392
50.1,3,9,4.683551669945715,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.21249641737161
30.8,5,5,5.079423927449208,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15.671808704579888
29.0,6,9,2.8611603121191407,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.789591722875162
42.4,3,5,14.20755644190302,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.607270193858982
45.0,4,5,10.729544982047743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.803385043104912
58.6,3,3,20.58429976453216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.961441957872001
41.0,2,3,17.62927212707694,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.507449876072164
29.5,1,5,5.626804186591108,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.573368647930426
17.1,1,9,5.079935828614964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.18922639004183
115.7,22,23,5.405609407263594,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.06336252992658
36.9,1,3,16.507026072605345,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.317363482435562
38.4,2,9,2.166811662811208,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16.33312646281364
53.1,7,17,12.86033109261013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.0625830467363
50.0,6,10,3.890423002685189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.52356082573315
